Date,AAPL,AGG,EFA,IAU,IEF,IWM,NVDA,QQQ,SMH,SPY,VGT,VIG,VTI,VWO
2006-06-01,1.7175865173339844,53.256011962890625,37.018741607666016,12.246000289916992,48.697017669677734,55.23834228515625,0.32534128427505493,33.2491340637207,14.016532897949219,88.47370910644531,39.30467224121094,33.29723358154297,44.27083206176758,19.054738998413086
2006-07-01,2.0381922721862793,53.99176788330078,37.318790435791016,12.652000427246094,49.50244903564453,53.74192810058594,0.33833080530166626,31.838369369506836,13.424525260925293,89.26275634765625,37.68928909301758,33.43916320800781,44.40999984741211,19.407493591308594
2006-08-01,2.0348918437957764,54.84114456176758,38.26985549926758,12.46399974822998,50.37357711791992,55.35387420654297,0.4448425769805908,33.35734939575195,14.5191011428833,91.21064758300781,40.54595184326172,34.1989860534668,45.43082809448242,19.695030212402344
2006-09-01,2.3087103366851807,55.4074821472168,38.35478591918945,11.904000282287598,50.988929748535156,55.53128433227539,0.4521777033805847,34.8848991394043,14.604280471801758,93.26335144042969,42.042293548583984,34.843475341796875,46.268638610839844,19.90254020690918
2006-10-01,2.4316742420196533,55.777061462402344,39.79274368286133,12.026000022888184,51.26258087158203,58.981929779052734,0.5328633785247803,36.56221008300781,14.480767250061035,96.62578582763672,43.7171745300293,35.91854476928711,48.09759521484375,20.913375854492188
2006-11-01,2.748978614807129,56.36549377441406,41.01555633544922,12.883999824523926,51.94015121459961,60.40560531616211,0.5652597546577454,37.81587219238281,14.715019226074219,98.54718780517578,45.23903274536133,36.21810531616211,49.21802520751953,22.44593048095703
2006-12-01,2.5444397926330566,55.836036682128906,41.451480865478516,12.649999618530273,51.13438415527344,60.37467575073242,0.5655653476715088,37.06023025512695,14.33170223236084,99.31157684326172,44.660911560058594,36.626583099365234,49.557350158691406,22.940975189208984
2007-01-01,2.5711326599121094,56.223934173583984,42.91654586791992,12.970000267028809,51.261966705322266,61.65652847290039,0.46837544441223145,37.88773727416992,14.408366203308105,101.36692810058594,45.4650764465332,37.372318267822266,50.73659133911133,23.364543914794922
2007-02-01,2.5375418663024902,56.91240310668945,42.864524841308594,13.295999526977539,52.117279052734375,61.25246047973633,0.47372451424598694,37.25156021118164,14.663904190063477,99.37833404541016,44.459293365478516,36.72254180908203,49.91241455078125,22.821537017822266
2007-03-01,2.786466598510742,56.80350875854492,44.10739517211914,13.166000366210938,52.07099914550781,61.73423385620117,0.4397997260093689,37.423484802246094,14.220967292785645,100.13287353515625,44.64680480957031,36.70201873779297,50.25700759887695,23.792917251586914
2007-04-01,2.9931070804595947,57.14003372192383,45.76069641113281,13.4399995803833,52.35626983642578,62.85719299316406,0.5026064515113831,39.537479400634766,15.592376708984375,104.98308563232422,46.880001068115234,38.45978546142578,52.50191116333008,24.69793128967285
2007-05-01,3.6346144676208496,56.62034225463867,46.84170150756836,13.118000030517578,51.632102966308594,65.60533142089844,0.5293483138084412,40.78487014770508,15.63497257232666,108.54412078857422,48.831912994384766,39.41372299194336,54.45699691772461,26.342044830322266
2007-06-01,3.6601083278656006,56.37791061401367,46.69139862060547,12.881999969482422,51.37771224975586,64.53875732421875,0.6312757730484009,40.94832992553711,16.2056827545166,106.4981460571289,49.113197326660156,38.651939392089844,53.29393768310547,27.539690017700195
2007-07-01,3.9516210556030273,56.98493957519531,45.62195587158203,13.182000160217285,52.54576110839844,60.13776397705078,0.6992782354354858,40.92006301879883,16.086429595947266,103.6082763671875,48.473907470703125,37.804832458496094,51.60612106323242,28.5080509185791
2007-08-01,4.1531596183776855,57.70975875854492,45.33292007446289,13.32800006866455,53.732810974121094,61.416961669921875,0.7817980051040649,42.073707580566406,16.13753890991211,104.93782806396484,49.87179946899414,38.67247009277344,52.36534881591797,28.505037307739258
2007-09-01,4.602724552154541,58.07828140258789,47.74351119995117,14.72599983215332,53.776424407958984,62.43097686767578,0.8306983113288879,44.26049041748047,16.31216049194336,108.48575592041016,51.653236389160156,39.84999465942383,54.14884567260742,31.307573318481445
2007-10-01,5.696798801422119,58.673030853271484,49.7725715637207,15.720000267028809,54.370548248291016,64.36560821533203,0.810985267162323,47.40168380737305,14.744830131530762,110.47920989990234,55.147911071777344,39.86822509765625,55.35436248779297,35.38016891479492
2007-11-01,5.464968204498291,59.73088455200195,47.968971252441406,15.498000144958496,56.581417083740234,59.93223190307617,0.7229640483856201,44.19735336303711,13.76524829864502,106.20005798339844,50.74973678588867,39.05951690673828,52.85116195678711,32.36343002319336
2007-12-01,5.9406256675720215,59.491390228271484,45.3791618347168,16.489999771118164,56.4114990234375,59.34584045410156,0.7798110842704773,44.11982727050781,13.824872970581055,104.44984436035156,51.24409484863281,38.67243576049805,52.20377731323242,31.464448928833008
2008-01-01,4.059587001800537,61.36106872558594,42.88689422607422,18.299999237060547,58.716182708740234,55.65446472167969,0.5636552572250366,38.914554595947266,11.989225387573242,98.65553283691406,44.612911224365234,36.81839370727539,49.24793243408203,29.165176391601562
2008-02-01,3.7494802474975586,61.01724624633789,42.44818115234375,19.27199935913086,59.2581672668457,54.02262878417969,0.49030452966690063,37.03477478027344,12.159586906433105,96.10601043701172,43.2964973449707,36.24876403808594,48.01851272583008,30.0042724609375
2008-03-01,4.303714275360107,61.114105224609375,42.62605667114258,18.134000778198242,60.053043365478516,53.57545471191406,0.4536292552947998,37.698734283447266,12.231988906860352,94.77740478515625,43.45891189575195,36.832298278808594,47.367679595947266,28.900854110717773
